mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
31.035020494461058,0.7332729210011241,0.09399676322937012,0.008424557109816341,balanced,10,2,300,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8893666179774621,0.8438743688099274,0.8707362216844613,0.8707051747152447,0.8832034534764565,0.8715771673327104,0.015624005187149995,17
10.756101608276367,0.35845244844971763,0.035097360610961914,0.003116142904817142,balanced,10,5,100,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8615601368864979,0.8314059081667508,0.8535045139127746,0.8685035635570507,0.8691918071275532,0.8568331859301255,0.013920515860092271,52
21.607275390625,0.9030553084288263,0.06306586265563965,0.005139605609989875,balanced,10,5,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8686108044647707,0.8400534606541017,0.8621972874088241,0.8720029722214662,0.8710414701541659,0.8627811989806657,0.011867169197658772,41
31.575686550140382,1.0476237020624464,0.09731650352478027,0.019360150101228782,balanced,10,5,300,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.8770999896010195,0.8367933721809312,0.8638457117287439,0.8754532615261578,0.8778232115858096,0.8662031093245325,0.01555521812355078,32
11.506436443328857,0.24896315145962344,0.03941917419433594,0.00458548529891691,balanced,20,2,100,"{'clf__class_weight': 'balanced', 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8919712504459842,0.8418528214077953,0.8602883922755158,0.8651430313680937,0.8639385105777265,0.8646388012150231,0.01603704692082279,38
23.66093544960022,0.9839797556759566,0.06396188735961914,0.004070661729528595,balanced,20,2,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8955793398828246,0.8506659769817665,0.8600113333605198,0.8794141751837521,0.8797026039969588,0.8730746858811644,0.01589578112908154,12
34.91480412483215,0.7400515788308799,0.10318875312805176,0.00821141749656659,balanced,20,2,300,"{'clf__class_weight': 'balanced', 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8938038570963606,0.8485267404190199,0.8794576495000944,0.882964801659337,0.8919248613373626,0.8793355820024349,0.016310682351577687,1
11.646736192703248,0.4207480564883761,0.03732147216796875,0.0038799080492081138,balanced,20,5,100,"{'clf__class_weight': 'balanced', 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.875324795524446,0.8432516902789731,0.8356607052609362,0.877681542643033,0.8602106848930734,0.8584258837200924,0.01678123137806494,51
23.725868225097656,0.8072166653988351,0.0666651725769043,0.004560080925529802,balanced,20,5,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8836095144112764,0.8537536446313915,0.8500917636218878,0.8828522618745391,0.8882534647483101,0.871712129857481,0.016304683304656925,16
34.96042442321777,0.896274727491412,0.09030375480651856,0.008069946312430923,balanced,20,5,300,"{'clf__class_weight': 'balanced', 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.878655970056891,0.852242776761035,0.8531558855202438,0.8828386764543916,0.8881611902044115,0.8710108997993945,0.01525463757754112,20
